record_code,format_version,submission_date,reporting_agency,location_code,location_type,name,latitude,longitude,psc_basin,psc_region,epa_reach,description,rmis_region,rmis_basin,rmis_latitude,rmis_longitude,record_origin
"L","4.1","20180206","CDFW","6FBELVAN YAGH","1","YAGER CREEK HATCHERY",,,"MAEL","NOCA",,"YAGER CREEK HATCHERY","NOCA","MAEL",,,"N"
"L","4.1","20180206","CDFW","6FBSC","1","SALMON CREEK","40.68","-124.21","MAEL","NOCA",,"SALMON CREEK, TRIBUTARY TO HUMBOLDT BAY","NOCA","MAEL","40.68","-124.21","N"
"L","4.1","20170728","NMFS","7M4  57N 168W","1","HIGH SEAS 4 57N 168W","57","-168",,,,"HIGH SEAS RECOVERY, SECTOR 4, LATITUDE 57N, LONGITUDE 168W",,,"57","-168","N"
"L","4.1","20170728","NMFS","7M4  57N 174W","1","HIGH SEAS 4 57N 174W","57","-174",,,,"HIGH SEAS RECOVERY, SECTOR 4, LATITUDE 57N, LONGITUDE 174W",,,"57","-174","N"
"L","4.1","20170728","NMFS","7M4  59N 164W","1","HIGH SEAS 4 59N 164W","59","-164",,,,"HIGH SEAS RECOVERY, SECTOR 4, LATITUDE 59N, LONGITUDE 164W",,,"59","-164","N"
"L","4.1","20180206","CDFW","6FCSASAF BONN","2","SAC R BONNYVIEW BOAT RAMP","40.54","-122.36","SACR","SAFA",,"SACRAMENTO RIVER BONNYVIEW BOAT RAMP","SAFA","SACR","40.54","-122.36","N"
"L","4.1","20180104","ODFW","5F33209  R4     38","1","COLUMBIA R ZONE 4 SEINE",,,"LOCRG","LOCR","17080001","COLUMBIA R ZONE 4 BEACH SEINE COMMERCIAL","LOCR","LOCRG",,,"N"
"L","4.1","20180104","ODFW","5F33209  R5     38","1","COLUMBIA R ZONE 5 SEINE",,,"LOCRG","LOCR","17080001","COLUMBIA R ZONE 5 BEACH SEINE COMMERCIAL","LOCR","LOCRG",,,"N"
"L","4.1","20180206","CDFO","2MS23P29MSARG BY","1","GSPTS SARG BY (P29M)","49.4731","-123.8511",,,,"GSPTS           STAT AREA: P29M SARGEANT BAY        P29M",,,"49.4731","-123.8511","N"
"L","4.1","20180202","ADFG","1F4CH","1","AK F 4 CH",,,"CHIG","WEAK",,"Alaska freshwater, Region 4, Quadrant CH","WEAK","KODI","58.3229","-154.2417","N"
"L","4.1","20180206","CDFO","2MS23P29MSELM PA","1","GSPTS SELM PA (P29M)","49.4667","-123.7333",,,,"GSPTS           STAT AREA: P29M SELMA PARK          P29M",,,"49.4667","-123.7333","N"
"L","4.1","20180206","CDFO","2MS23P29M","1","GSPTS        P29M",,,,,,"GSPTS           PFMA 29 Marine - Remaining southern Strait of Georgia marine waters",,,,,"N"
"L","4.1","20180206","CDFO","2MSMA","2","Maa-Nulth FSC ISBM",,,,,,"Maa-Nulth FSC ISBM     Catch Region MA",,,,,"N"
"L","4.1","20180206","CDFO","2MSMAM23BBARK SD 08","1","FNMAA BARK SD (23-8)","48.843","-125.3813",,,,"FNMAA ISBM      STAT AREA: M23B BARKLEY SOUND       M23B",,,"48.843","-125.3813","N"
"L","4.1","20180206","CDFO","2MS23P29MSEMI BY","1","GSPTS SEMI BY (P29M)","49.0156","-122.8075",,,,"GSPTS           STAT AREA: P29M SEMIAHMOO BAY       P29M",,,"49.0156","-122.8075","N"
"L","4.1","20180104","ODFW","5F33240  R      15","2","TEST ZONE 4",,,"LOCRG","LOCR","17080001","TEST ZONE 4 COLUMBIA R WARRIOR ROCK TO ROOSTER ROCK SUMMARY AREA","LOCR","LOCRG",,,"N"
"L","4.1","20180206","CDFO","2FNTKM055       000","1","TAKU         M055-000",,,,,,"TAKU            Taku River",,,,,"N"
"L","4.1","20180206","CDFW","6FBELVAN YAGRLAW","2","LAWRENCE CREEK","40.5804","-123.9924","MAEL","NOCA",,"LAWRENCE CREEK, TRIBUTARY TO YAGER CREEK","NOCA","MAEL","40.5804","-123.9924","N"
"L","4.1","20180206","CDFW","6FBELVAN YAGRLAWBTH","1","BOOTHS RUN CREEK","40.6621","-123.9672","MAEL","NOCA",,"BOOTHS RUN CREEK, TRIBUTARY TO LAWRENCE CREEK","NOCA","MAEL","40.6621","-123.9672","N"
"L","4.1","20180202","ADFG","1F4KD262 55","1","AK F 4 KD 262-55",,,"KODI","WEAK",,"Alaska freshwater, Region 4, Quadrant KD, District 262, Subdistrict 55","WEAK","KODI","58.0497","-154.7089","N"
"L","4.1","20180206","CDFO","2MS23P29MLION IT","1","GSPTS LION IT (P29M)","48.9003","-123.3353",,,,"GSPTS           STAT AREA: P29M LION ISLETS         P29M",,,"48.9003","-123.3353","N"
"L","4.1","20180206","CDFW","6FBELVAN YAGRLAWCOR","2","CORNER CREEK","40.6185","-123.9908","MAEL","NOCA",,"CORNER CREEK, TRIBUTARY TO LAWRENCE CREEK","NOCA","MAEL","40.6185","-123.9908","N"
"L","4.1","20180206","CDFW","6FCSASAF COLU","1","SAC R AT COLUSA","39.2","-122","SACR","SAFA",,"SACRAMENTO RIVER COLUSA","SAFA","SACR","39.2","-122","N"
"L","4.1","20180202","ADFG","1F4CH272","1","AK F 4 CH 272",,,"CHIG","WEAK",,"Alaska freshwater, Region 4, Quadrant CH, District 272","WEAK","ALEU","56.3287","-158.549","N"
"L","4.1","20180206","CDFW","6FCSASAF COLU","2","SAC R AT COLUSA","39.2","-122","SACR","SAFA",,"SACRAMENTO RIVER COLUSA","SAFA","SACR","39.2","-122","N"
"L","4.1","20180206","CDFW","6FCSASAF FRMW","1","SAC R AT FREMONT WEIR","38.767","-121.659","SACR","SAFA",,"SACRAMENTO RIVER FREMONT WEIR","SAFA","SACR","38.767","-121.659","N"
"L","4.1","20180202","ADFG","1F4CH272 53","1","AK F 4 CH 272-53",,,"CHIG","WEAK",,"Alaska freshwater, Region 4, Quadrant CH, District 272, Subdistrict 53","WEAK","CHIG",,,"N"
"L","4.1","20180202","ADFG","1F4CH272 71","1","AK F 4 CH 272-71",,,"CHIG","WEAK",,"Alaska freshwater, Region 4, Quadrant CH, District 272, Subdistrict 71","WEAK","CHIG",,,"N"
"L","4.1","20170905","WDFW","3F              R04","3","ENHANCEMENT COOP",,,"WAGNG","WAGN","17","WASHINGTON - GENERAL (UNKNOWN) GENERAL ENHANCEMENT COOP RELEASE SITE","WAGN","WAGNG",,,"N"
"L","4.1","20180202","ADFG","1F4CH272 73","1","AK F 4 CH 272-73",,,"CHIG","WEAK",,"Alaska freshwater, Region 4, Quadrant CH, District 272, Subdistrict 73","WEAK","CHIG",,,"N"
"L","4.1","20180206","CDFO","2MS23P29MCANN CH","1","GSPTS CANN CH (P29M)","49.1203","-123.1744",,,,"GSPTS           STAT AREA: P29M CANNERY CHANNEL     P29M",,,"49.1203","-123.1744","N"
"L","4.1","20180206","CDFO","2MS23P29MFAIR BY","1","GSPTS FAIR BY (P29M)","49.3344","-123.3811",,,,"GSPTS           STAT AREA: P29M FAIRWEATHER BAY     P29M",,,"49.3344","-123.3811","N"
"L","4.1","20180206","CDFO","2MS23P29MBOWE IS","1","GSPTS BOWE IS (P29M)","49.3731","-123.3711",,,,"GSPTS           STAT AREA: P29M BOWEN ISLAND        P29M",,,"49.3731","-123.3711","N"
"L","4.1","20180104","ODFW","5F33240  R40    15","1","NEW TEST ZONE 4",,,"LOCRG","LOCR","17080001","NEW TEST ZONE 4 COLUMBIA R WARRIOR ROCK TO ROOSTER ROCK","LOCR","LOCRG",,,"N"
"L","4.1","20180202","ADFG","1F4CH272 74","1","AK F 4 CH 272-74",,,"CHIG","WEAK",,"Alaska freshwater, Region 4, Quadrant CH, District 272, Subdistrict 74","WEAK","CHIG",,,"N"
"L","4.1","20180202","ADFG","1F4CH272 75","1","AK F 4 CH 272-75",,,"CHIG","WEAK",,"Alaska freshwater, Region 4, Quadrant CH, District 272, Subdistrict 75","WEAK","CHIG",,,"N"
"L","4.1","20180206","CDFW","6FCSASAF HAMC","1","SAC R AT HAMILTON CITY","39.746","-121.996","SACR","SAFA",,"SACRAMENTO RIVER HAMILTON CITY","SAFA","SACR","39.746","-121.996","N"
"L","4.1","20180206","CDFW","6FCSASAF HAMC","2","SAC R AT HAMILTON CITY","39.746","-121.996","SACR","SAFA",,"SACRAMENTO RIVER HAMILTON CITY","SAFA","SACR","39.746","-121.996","N"
"L","4.1","20180206","CDFO","2MN25H001STRI IS 05","1","NSPT  STRI IS [1-5]","54.0869","-132.25",,,,"NSPT            STAT AREA: H001 STRIAE ISLANDS      H001",,,"54.0833","-132.25","N"
"L","4.1","20180206","CDFO","2MN26H006LORE IS 01","1","CSPT  LORE IS [6-1]","53.7422","-128.8631",,,,"CSPT            STAT AREA: H006 LORETTA ISLAND      H006",,,"53.75","-128.8333","N"
"L","4.1","20180104","ODFW","5M2220699O      10","2","CANNON BEACH UNKNOWN SRC","45.8917","-123.9615","NOORG","NOOR","17100201","CANNON BEACH UNKNOWN SRC","NOOR","NOORG","45.8917","-123.9615","N"
"L","4.1","20180104","ODFW","5M2220699O0699  10","1","CANNON BEACH UNKNOWN SRC","45.8917","-123.9615","NOORG","NOOR","17100201","CANNON BEACH UNKNOWN SRC","NOOR","NOORG","45.8917","-123.9615","N"
"L","4.1","20180206","CDFO","2MN26H007MATH CH 10","1","CSPT  MATH CH [7-10]","52.5725","-128.2681",,,,"CSPT            STAT AREA: H007 MATHIESON CHANNEL   H007",,,"52.3833","-128.3333","N"
"L","4.1","20180202","ADFG","1F4CH273","1","AK F 4 CH 273",,,"CHIG","WEAK",,"Alaska freshwater, Region 4, Quadrant CH, District 273","WEAK","ALEU","55.9443","-159.182","N"
"L","4.1","20180206","CDFW","6FBELVAN YAGRLAWFSH","1","FISH CREEK","40.6318","-123.9924","MAEL","NOCA",,"FISH CREEK, TRIBUTARY TO LAWRENCE CREEK","NOCA","MAEL","40.6318","-123.9924","N"
"L","4.1","20180202","ADFG","1F4CH273 95","1","AK F 4 CH 273-95",,,"CHIG","WEAK",,"Alaska freshwater, Region 4, Quadrant CH, District 273, Subdistrict 95","WEAK","ALEU",,,"N"
"L","4.1","20180206","CDFW","6FBELWIL","1","WILLITS CREEK",,,"MAEL","NOCA",,"WILLITS CREEK","NOCA","MAEL",,,"N"
"L","4.1","20180206","CDFW","6FCSASAF LVNH","2","LIVINGSTON STONE HAT","40.716","-122.418","SACR","SAFA",,"LIVINGSTON STONE NATIONAL FISH HATCHERY","SAFA","SACR","40.716","-122.418","N"
"L","4.1","20180206","CDFO","2MS23P29MQA MARK","1","GSPTS QA MARK (P29M)","49.2751","-123.3216",,,,"GSPTS           STAT AREA: P29M QA MARKER           P29M",,,"49.2751","-123.3216","N"
"L","4.1","20180206","CDFO","2MS23P29MROBE BK","1","GSPTS ROBE BK (P29M)","49.0617","-123.1775",,,,"GSPTS           STAT AREA: P29M ROBERTS BANK        P29M",,,"49.0617","-123.1775","N"
"L","4.1","20180202","ADFG","1F4CH273 71","1","AK F 4 CH 273-71",,,"CHIG","WEAK",,"Alaska freshwater, Region 4, Quadrant CH, District 273, Subdistrict 71","WEAK","CHIG",,,"N"
"L","4.1","20180202","ADFG","1F4CH273 73","1","AK F 4 CH 273-73",,,"CHIG","WEAK",,"Alaska freshwater, Region 4, Quadrant CH, District 273, Subdistrict 73","WEAK","CHIG",,,"N"
"L","4.1","20180202","ADFG","1F4PE305 49","1","AK F 4 PE 305-49",,,"PENI","WEAK",,"Alaska freshwater, Region 4, Quadrant PE, District 305, Subdistrict 49","WEAK","ALEU",,,"N"
"L","4.1","20180202","ADFG","1F4PE282 12","1","AK F 4 PE 282-12",,,"PENI","WEAK",,"Alaska freshwater, Region 4, Quadrant PE, District 282, Subdistrict 12","WEAK","ALEU","55.3101","-160.6548","N"
"L","4.1","20180202","ADFG","1F4PE282 65","1","AK F 4 PE 282-65",,,"PENI","WEAK",,"Alaska freshwater, Region 4, Quadrant PE, District 282, Subdistrict 65","WEAK","ALEU",,,"N"
"L","4.1","20180202","ADFG","1F4PE282 60","1","AK F 4 PE 282-60",,,"PENI","WEAK",,"Alaska freshwater, Region 4, Quadrant PE, District 282, Subdistrict 60","WEAK","ALEU",,,"N"
"L","4.1","20180202","ADFG","1F4PE284 80","1","AK F 4 PE 284-80",,,"PENI","WEAK",,"Alaska freshwater, Region 4, Quadrant PE, District 284, Subdistrict 80","WEAK","ALEU",,,"N"
"L","4.1","20180202","ADFG","1F4PE284 67","1","AK F 4 PE 284-67",,,"PENI","WEAK",,"Alaska freshwater, Region 4, Quadrant PE, District 284, Subdistrict 67","WEAK","ALEU",,,"N"
"L","4.1","20180206","CDFW","6FCSASAF ORDB","2","SAC R AT ORD BEND","39.627","-121.988","SACR","SAFA",,"SACRAMENTO RIVER ORD BEND","SAFA","SACR","39.627","-121.988","N"
"L","4.1","20180206","CDFW","6FCSASAF POSG","1","SAC R AT POSSE GROUNDS","40.59","-122.38","SACR","SAFA",,"SACRAMENTO RIVER POSSE GROUNDS","SAFA","SACR","40.59","-122.38","N"
"L","4.1","20180206","CDFW","6FCSASAF REDG","2","SAC R AT REDDING","40.573","-122.371","SACR","SAFA",,"SACRAMENTO RIVER REDDING","SAFA","SACR","40.573","-122.371","N"
"L","4.1","20180206","CDFW","6FCSASAF TISW","1","SAC R TISDALE WIER","39.02","-121.82","SACR","SAFA",,"SACRAMENTO RIVER TISDALE WIER","SAFA","SACR","39.02","-122.82","N"
"L","4.1","20180206","CDFW","6FCSJMID BACE","1","SAN JOAQ MID BACON E","37.957","-121.53","SJR","SJOA",,"SAN JOAQUIN MIDDLE RIVER BACON ISLAND EAST SIDE","SJOA","SJR","37.957","-121.53","N"
"L","4.1","20180206","CDFO","2FS77M297FERG BR","1","FRFNSSFERG BR [M297]","49.2333","-121.95",,,,"FRFNSS          STAT AREA: M297 FRASER: FERGIES BAR M297",,,"49.2333","-121.95","N"
"L","4.1","20180206","CDFO","2MN26P012CLIO CH 26","1","CSPT  CLIO CH (12-26)","50.5894","-126.4025",,,,"CSPT            STAT AREA: P012 CLIO CHANNEL        P012",,,"50.5833","-126.4167","N"
"L","4.1","20180104","ODFW","5F22280  R000   18","1","BEAVER CR NFK (OCEAN 1996",,,"ALSE","NOOR","17100205","N FK BEAVER CR (BEAVER CR - OCEAN NEAR ALSEA BAY) PRE 1996 NOW 273161","NOOR","ALSE",,,"N"
"L","4.1","20180104","ODFW","5M2220499O      10","2","HAMMOND UNKNOWN SRC","46.1993","-123.952","NOORG","NOOR","17100201","HAMMOND UNKNOWN SRC","NOOR","NOORG","46.1993","-123.952","N"
"L","4.1","20180104","ODFW","5M2220499O0499  10","1","HAMMOND UNKNOWN SRC","46.1993","-123.952","NOORG","NOOR","17100201","HAMMOND UNKNOWN SRC","NOOR","NOORG","46.1993","-123.952","N"
"L","4.1","20180104","ODFW","5M2220399O      10","2","WARRENTON UNKNOWN SRC","46.1651","-123.9237","NOORG","NOOR","17100201","WARRENTON UNKNOWN SRC","NOOR","NOORG","46.1651","-123.9237","N"
"L","4.1","20170905","WDFW","3F1","2","PUGET SOUND STREAMS",,,"PSG","WAGN",,"PUGET SOUND - GENERAL FRESHWATER TRIBUTARIES","WAGN","PSG",,,"N"
"L","4.1","20180202","ADFG","1F4PE313 30","1","AK F 4 PE 313-30",,,"PENI","WEAK",,"Alaska freshwater, Region 4, Quadrant PE, District 313, Subdistrict 30","WEAK","ALEU","55.7217","-161.6081","N"
"L","4.1","20180202","ADFG","1F4PE311","1","AK F 4 PE 311",,,"PENI","WEAK",,"Alaska freshwater, Region 4, Quadrant PE, District 311","WEAK","ALEU","55.7217","-161.6081","N"
"L","4.1","20180202","ADFG","1F4PE311 32","1","AK F 4 PE 311-32",,,"PENI","WEAK",,"Alaska freshwater, Region 4, Quadrant PE, District 311, Subdistrict 32","WEAK","ALEU","54.865","-164.2633","N"
"L","4.1","20180202","ADFG","1F4PE311 52","1","AK F 4 PE 311-52",,,"PENI","WEAK",,"Alaska freshwater, Region 4, Quadrant PE, District 311, Subdistrict 52","WEAK","ALEU","54.98","-163.6531","N"
"L","4.1","20180206","CDFW","6FBELVAN YAGRLAWFSH","2","FISH CREEK","40.6318","-123.9924","MAEL","NOCA",,"FISH CREEK, TRIBUTARY TO LAWRENCE CREEK","NOCA","MAEL","40.6318","-123.9924","N"
"L","4.1","20180206","CDFW","6FBGR","2","GARCIA RIVER","38.95","-123.73","NORU","CECA",,"GARCIA RIVER","CECA","NORU","38.95","-123.73","N"
"L","4.1","20180202","ADFG","1F4PE315 12","1","AK F 4 PE 315-12",,,"PENI","WEAK",,"Alaska freshwater, Region 4, Quadrant PE, District 315, Subdistrict 12","WEAK","ALEU","56.1937","-160.0403","N"
"L","4.1","20180206","CDFO","2MS23P29MSAND HD","1","GSPTS SAND HD (P29M)","49.1003","-123.2661",,,,"GSPTS           STAT AREA: P29M SAND HEADS          P29M",,,"49.1003","-123.2661","N"
"L","4.1","20180206","CDFO","2MS23P29MTHRA RK","1","GSPTS THRA RK (P29M)","49.15","-123.65",,,,"GSPTS           STAT AREA: P29M THRASHER ROCK       P29M",,,"49.15","-123.65","N"
"L","4.1","20180206","CDFO","2MS23P29MTRAI IS","1","GSPTS TRAI IS (P29M)","49.4517","-123.8017",,,,"GSPTS           STAT AREA: P29M TRAIL ISLANDS       P29M",,,"49.4517","-123.8017","N"
"L","4.1","20180206","CDFO","2MS23P29MPT ATKI","1","GSPTS PT ATKI (P29M)","49.3297","-123.265",,,,"GSPTS           STAT AREA: P29M POINT ATKINSON      P29M",,,"49.3297","-123.265","N"
"L","4.1","20180206","CDFW","6FBGU","1","GUALALA RIVER","38.76","-123.53","NORU","CECA",,"GUALALA RIVER","CECA","NORU","38.76","-123.53","N"
"L","4.1","20180206","CDFO","2MS23P29MSALA PT","1","GSPTS SALA PT (P29M)","48.9047","-123.3447",,,,"GSPTS           STAT AREA: P29M SALAMANCA POINT     P29M",,,"48.9047","-123.3447","N"
"L","4.1","20180202","ADFG","1F4PE315 11","1","AK F 4 PE 315-11",,,"PENI","WEAK",,"Alaska freshwater, Region 4, Quadrant PE, District 315, Subdistrict 11","WEAK","ALEU","56.0728","-160.3151","N"
"L","4.1","20180202","ADFG","1M4CH273 70","1","AK M 4 CH 273-70",,,"CHIG","WEAK",,"Alaska marine, Region 4, Quadrant CH, District 273, Subdistrict 70","WEAK","ALEU","55.9562","-159.0415","N"
"L","4.1","20180202","ADFG","1M4CH273 80","1","AK M 4 CH 273-80",,,"CHIG","WEAK",,"Alaska marine, Region 4, Quadrant CH, District 273, Subdistrict 80","WEAK","ALEU","56.0561","-158.7227","N"
"L","4.1","20180202","ADFG","1M3NS333 31","1","AK M 3 NS 333-31",,,"NORT","AYK",,"Alaska marine, Region 3, Quadrant NS, District 333, Subdistrict 31","NOAK","NORT",,,"N"
"L","4.1","20180202","ADFG","1M2BB324 11","1","AK M 2 BB 324-11",,,"BRIS","CNAK",,"Alaska marine, Region 2, Quadrant BB, District 324, Subdistrict 11","CEAK","BRIS",,,"N"
"L","4.1","20180202","ADFG","1M2BB324 17","1","AK M 2 BB 324-17",,,"BRIS","CNAK",,"Alaska marine, Region 2, Quadrant BB, District 324, Subdistrict 17","CEAK","BRIS",,,"N"
"L","4.1","20180104","ODFW","5M2220399O0399  10","1","WARRENTON UNKNOWN SRC","46.1651","-123.9237","NOORG","NOOR","17100201","WARRENTON UNKNOWN SRC","NOOR","NOORG","46.1651","-123.9237","N"
"L","4.1","20180202","ADFG","1F1NW191 25","1","AK F 1 NW 191-25",,,"SEAK","SEAK",,"Alaska freshwater, Region 1, Quadrant NW, District 191, Subdistrict 25","SEAK","SEYA",,,"N"
"L","4.1","20180202","ADFG","1F1NW191 00","1","AK F 1 NW 191-00",,,"SEAK","SEAK",,"Alaska freshwater, Region 1, Quadrant NW, District 191, Subdistrict 00","SEAK","SEYA",,,"N"
"L","4.1","20180202","ADFG","1F1NW182 52","1","AK F 1 NW 182-52",,,"SEAK","SEAK",,"Alaska freshwater, Region 1, Quadrant NW, District 182, Subdistrict 52","SEAK","SEYA",,,"N"
"L","4.1","20180202","ADFG","1F1NW181 00","1","AK F 1 NW 181-00",,,"SEAK","SEAK",,"Alaska freshwater, Region 1, Quadrant NW, District 181, Subdistrict 00","SEAK","SEYA",,,"N"
"L","4.1","20180202","ADFG","1F1NW113 34","1","AK F 1 NW 113-34",,,"SEAK","SEAK",,"Alaska freshwater, Region 1, Quadrant NW, District 113, Subdistrict 34","SEAK","SENW","56.7307","-135.0718","N"
"L","4.1","20180206","CDFW","6FBMA","1","MAD RIVER","40.97","-124.12","MAEL","NOCA",,"MAD RIVER","NOCA","MAEL","40.97","-124.12","N"
"L","4.1","20180202","ADFG","1F1NW113 42","1","AK F 1 NW 113-42",,,"SEAK","SEAK",,"Alaska freshwater, Region 1, Quadrant NW, District 113, Subdistrict 42","SEAK","SENW","57.2561","-135.4475","N"
"L","4.1","20180206","CDFW","6FBMAFRA","1","FRANCIS CREEK",,,"MAEL","NOCA",,"FRANCIS CREEK, TRIBUTARY OF MAD RIVER","NOCA","MAEL",,,"N"
"L","4.1","20180202","ADFG","1F1NW113 64","1","AK F 1 NW 113-64",,,"SEAK","SEAK",,"Alaska freshwater, Region 1, Quadrant NW, District 113, Subdistrict 64","SEAK","SENW","57.4706","-135.6877","N"
"L","4.1","20180206","CDFW","6FBMAFRA","2","FRANCIS CREEK",,,"MAEL","NOCA",,"FRANCIS CREEK, TRIBUTARY OF MAD RIVER","NOCA","MAEL",,,"N"
"L","4.1","20180206","CDFW","6FCSACOW SOUF   CLO","1","CLOVER CREEK","40.555","-122.187","SACR","SAFA",,"CLOVER CREEK ON SOUTH FORK OF COW CREEK","SAFA","SACR","40.555","-122.187","N"
"L","4.1","20180206","CDFO","2MS23P29MWORL IS","1","GSPTS WORL IS (P29M)","49.3483","-123.4594",,,,"GSPTS           STAT AREA: P29M WORLCOMBE ISLAND    P29M",,,"49.3483","-123.4594","N"
"L","4.1","20180104","ODFW","5M2220302O0302  10","1","WARRENTON AREA 2","46.1651","-123.9237","NOORG","NOOR","17100201","WARRENTON AREA 2","NOOR","NOORG","46.1651","-123.9237","N"
"L","4.1","20180104","ODFW","5M2220303O      10","2","WARRENTON AREA 3","46.1651","-123.9237","NOORG","NOOR","17100201","WARRENTON AREA 3","NOOR","NOORG","46.1651","-123.9237","N"
"L","4.1","20180206","CDFO","2MS62P014DORC PT","1","GSSPTCDORC PT (P014)","49.3128","-124.1858",,,,"GSSPTC          STAT AREA: P014 DORCAS POINT        P014",,,"49.3128","-124.1858","N"
"L","4.1","20180206","CDFO","2M BMP004AVER IS 09","1","BC MARAVER IS (4-9)","54.2117","-130.7589",,,,"BC MARINE       STAT AREA: P004 AVERY ISLAND        P004",,,"54.2117","-130.7589","N"
